"label","percent"
"[-5,-4)",0.00095518963832203910
"[-4,-3)",0.00209333761576362253
"[-3,-2)",0.00603761610458807481
"[-2,-1)",0.02605363821398414540
"[-1,0)",0.05885656326309993645
"[0,1)",0.46764779800534340027
"[1,2)",0.16184916921519479569
"[2,3)",0.09213184257504155810
"[3,4)",0.05458916256538993895
"[4,5)",0.03244844582260954868
"[5,6)",0.02018319290342260961
"[6,7)",0.01290881686167605163
"[7,8)",0.00853891297191184243
"[8,9)",0.00587040669354476153
"[9,10)",0.00416848888821579176
"[10,11)",0.00305292959399792700
"[11,16)",0.00745047418141561656
"[16,21)",0.00285518548063228605
"[21,26)",0.00160237449403104382
"[26,31)",0.00116342622230416804
"[31,46)",0.00229845530774392466
"[46,61)",0.00142700780609147412
"[61,76)",0.00076812653747831339
"[76,91)",0.00061563475300443628
"[91,)",0.00974661019656386375
"cancelled",0.01468719408862882938
